group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
clean,101_INTERROGATION_2,23,0.0015527950310559005,4.315456017812269,0.3583073374904049,644,644
clean,101_INTERROGATION_2,24,0.0015527950310559005,4.320465766620777,0.33185206012952406,644,644
clean,101_INTERROGATION_2,25,0.0015527950310559005,4.365244245366055,0.2693919004673493,644,644
clean,101_INTERROGATION_2,26,0.0015527950310559005,4.427680307046439,0.16501615657610458,644,644
clean,101_INTERROGATION_2,27,0.0015527950310559005,4.392339130365598,0.21150158072337133,644,644
clean,101_INTERROGATION_2,28,0.0015527950310559005,4.418979798161139,0.1855466334443907,644,644
clean,101_INTERROGATION_2,29,0.0015527950310559005,4.446210607308579,0.15693171247863935,644,644
clean,101_INTERROGATION_2,30,0.0,4.467812543617498,0.1959382233841258,644,644
clean,119_POISONED_KEY_2,0,0.0,4.094331336619998,0.14714444428690632,642,642
clean,119_POISONED_KEY_2,1,0.0,4.133698166011625,0.29833200449686115,642,642
clean,119_POISONED_KEY_2,2,0.0,4.185964494137732,0.24168245141107025,642,642
clean,119_POISONED_KEY_2,3,0.0,4.229783925762655,0.20110503110422684,642,642
clean,119_POISONED_KEY_2,4,0.0,4.228451562558748,0.25895485230002047,642,642
clean,119_POISONED_KEY_2,5,0.0,4.104059873298133,0.3562326633968058,642,642
clean,119_POISONED_KEY_2,6,0.0,3.9767852563160337,0.38463233945785413,642,642
clean,119_POISONED_KEY_2,7,0.0,4.009505948806191,0.35631503314552315,642,642
clean,119_POISONED_KEY_2,8,0.0,4.238785880371886,0.28192222875358364,642,642
clean,119_POISONED_KEY_2,9,0.0,4.319935715124034,0.2057264691387446,642,642
clean,119_POISONED_KEY_2,10,0.0,4.337698801837413,0.25869455161008315,642,642
clean,119_POISONED_KEY_2,11,0.0,4.383901154895297,0.2346953376842431,642,642
clean,119_POISONED_KEY_2,12,0.0,4.516144894171549,0.18455296277863598,642,642
clean,119_POISONED_KEY_2,13,0.0,4.509007452838848,0.1746735696225059,642,642
clean,119_POISONED_KEY_2,14,0.0,4.62478477578521,0.14193058364133604,642,642
clean,119_POISONED_KEY_2,15,0.0,4.548235680252755,0.20863031631332607,642,642
clean,119_POISONED_KEY_2,16,0.0,4.512063433906519,0.19926593873920329,642,642
clean,119_POISONED_KEY_2,17,0.004672897196261682,4.485470400267252,0.1633937376853467,642,642
clean,119_POISONED_KEY_2,18,0.00778816199376947,4.491224492980889,0.12198615672946334,642,642
clean,119_POISONED_KEY_2,19,0.04205607476635514,4.481626677548821,0.0512927141606232,642,642
clean,119_POISONED_KEY_2,20,0.0514018691588785,4.472079045480718,0.023550666057019054,642,642
clean,119_POISONED_KEY_2,21,0.07165109034267912,4.369074609461352,-0.017200265360564515,642,642
clean,119_POISONED_KEY_2,22,0.06853582554517133,4.365108541527887,-0.01430085447035978,642,642
clean,119_POISONED_KEY_2,23,0.09034267912772585,4.271097268184204,-0.03514073818091612,642,642
clean,119_POISONED_KEY_2,24,0.13862928348909656,4.192923141377035,-0.006779710987578902,642,642
clean,119_POISONED_KEY_2,25,0.14641744548286603,4.046846202195725,0.028595060250155235,642,642
clean,119_POISONED_KEY_2,26,0.14797507788161993,4.008450797230536,0.032478004221713874,642,642
clean,119_POISONED_KEY_2,27,0.17445482866043613,3.939664164167735,-0.029518858320777053,642,642
